pdbid,dna,U,protein,duplex
3SSE,"[13, 13]",[],[170],False
3SUN,"[16, 13]",[],[895],False
3SUO,"[16, 13]",[],[900],False
3SUP,"[16, 13]",[],[903],False
3SUQ,"[16, 13]",[],[897],False
3SV3,[12],[],"[540, 16]",False
3SV4,"[12, 16]",[],[540],False
3SWM,"[26, 26]",[],[174],False
3SWP,"[26, 26]",[],[174],False
3SYZ,[12],[],"[540, 16]",False
3SZ2,"[12, 16]",[],[540],False
3SZ5,[4],[],[216],False
3SZQ,"[5, 14]",[],[206],False
3T3F,[12],[],"[540, 16]",False
3T5H,[13],[],"[341, 17]",False
3T5J,[13],[],"[341, 17]",False
3T5K,[14],[],"[341, 17]",False
3T5L,[14],[],"[341, 17]",False
3T72,"[26, 26]",[],"[102, 99]",False
3TAB,[15],[],"[906, 18]",False
3TAE,[15],[],"[18, 906]",False
3TAF,"[18, 15]",[],[906],False
3TAG,"[18, 15]",[],[906],False
3TAN,"[16, 10]",[],[592],False
3TAP,"[12, 16]",[],[592],False
3TAQ,"[13, 16]",[],[592],False
3TAR,"[15, 16]",[],[592],False
3TED,"[12, 12]",[],[271],True
3THV,"[9, 13]",[],[592],False
3THW,[53],[],"[934, 918]",False
3THX,"[24, 25]",[],"[934, 918]",False
3THY,"[24, 24]",[],"[934, 918]",False
3THZ,"[24, 28]",[],"[934, 918]",False
3TI0,"[9, 13]",[],[592],False
3TMM,"[28, 28]",[],[238],True
3TQ1,"[13, 9]",[],[435],False
3TQ6,[22],[22],[214],False
3TS8,"[26, 26]",[],[234],False
3TU4,"[147, 147]",[],"[135, 102, 129, 122, 229]",True
3TWM,[16],[],"[310, 16]",False
3U2B,"[16, 16]",[],[79],True
3U3W,"[18, 18]",[],"[293, 7]",True
3U3Y,[4],[],[314],False
3U44,[48],[],"[1232, 1166]",False
3U4Q,[48],[],"[1232, 1166]",False
3U58,[4],[],[213],False
3U5Z,"[30, 20]",[],"[324, 199, 228]",False
3U60,"[30, 20]",[],"[324, 195, 228]",False
3U61,"[20, 10]",[],"[324, 199, 228]",False
3U6C,[13],[],"[273, 10]",False
3U6D,[16],[],"[273, 16]",False
3U6E,[16],[],"[273, 16]",False
3U6F,[4],[],[314],False
3U6L,[16],[],"[273, 16]",False
3U6M,[16],[],"[273, 16]",False
3U6O,[16],[],"[273, 16]",False
3U6P,[16],[],"[273, 16]",False
3U6Q,[16],[],"[273, 16]",False
3U6S,[16],[],"[273, 16]",False
3U6Y,"[5, 5]",[],[102],False
3U7F,[5],[],[381],False
3U7G,[5],[],[379],False
3U7H,[5],[],[381],False
3UBT,[6],[],[331],True
3UBY,[],[],"[219, 13]",True
3UDG,[35],[],[301],False
3UFD,"[19, 19]",[],[82],False
3UFJ,[23],[],"[204, 23]",False
3UGM,"[38, 38]",[],[1047],False
3UGO,[11],[],[245],False
3UGP,[11],[],[245],False
3UIQ,"[18, 13]",[],[903],False
3UK3,"[20, 20]",[],[57],False
3UKG,"[31, 31]",[],[242],False
3ULP,[35],[],[124],False
3UO7,[23],[],"[23, 201]",False
3UOB,[23],[],"[23, 201]",False
3UPU,[8],[],[459],False
3US0,[22],[],[203],True
3US1,[22],[],[203],True
3US2,"[19, 19]",[],[203],True
3UT9,"[145, 145]",[],"[135, 102, 129, 125]",True
3UTA,"[145, 145]",[],"[135, 102, 125, 129]",True
3UTB,[146],[],"[135, 102, 129, 125]",True
3UVF,"[28, 28]",[],[255],False
3UXP,"[7, 9]",[],[335],False
3UXW,[12],[],[10],True
3V1Z,[13],[],[293],False
3V20,[13],[],[293],False
3V21,[13],[],[293],False
3V4I,"[27, 21]",[],"[556, 428]",False
3V4R,[8],[],[667],False
3V6D,"[27, 21]",[],"[556, 428]",False
3V6H,[13],[],"[18, 348]",False
3V6J,[12],[],"[348, 17]",False
3V6K,[10],[],"[347, 14]",False
3V6T,"[17, 17]",[],[499],True
3V72,"[8, 10]",[],[335],False
3V79,"[18, 18]",[],"[256, 434, 63, 19]",True
3V7J,"[8, 12]",[],[340],False
3V7K,"[8, 11]",[],[340],False
3V81,"[27, 21]",[],"[556, 428]",False
3V9S,[7],[],[235],False
3V9U,[7],[],[235],False
3V9W,[5],[],[235],False
3V9X,[7],[],[235],False
3V9Z,[7],[],[235],False
3VA0,[2],[],[235],False
3VA3,[18],[],[235],False
3VAF,[],[7],[174],False
3VAG,[],[7],[174],False
3VAH,[],[7],[174],False
3VAI,[],[7],[174],False
3VAJ,[],[7],[174],False
3VAK,[],[7],[174],False
3VAL,[],[7],[174],False
3VAM,[],[7],[174],False
3VD0,[12],[],[210],True
3VD1,[12],[],[210],True
3VD2,[14],[],[210],True
3VD6,"[20, 20]",[],[119],False
3VDY,[35],[],[116],False
3VEA,"[23, 23]",[],[151],True
3VEB,"[16, 16]",[],[151],False
3VEK,"[20, 20]",[],[119],False
3VH0,[11],[],[353],False
3VK7,[13],[],"[295, 13]",False
3VK8,"[13, 13]",[],[295],False
3VKE,[6],[],[76],False
3VOK,[15],[],[189],False
3VW3,"[18, 18]",[],"[217, 220]",False
3VW4,"[23, 23]",[],[128],True
3VWB,[26],[26],[143],False
3VXV,"[14, 14]",[],[69],False
3VXX,"[14, 14]",[],[69],False
3VYB,[14],[],"[69, 14]",False
3VYQ,"[11, 11]",[],[74],False
3W2A,"[31, 31]",[],[143],False
3W3C,"[26, 26]",[],[143],False
3W6V,"[16, 16]",[],[147],False
3W96,[146],[],"[139, 106, 124, 129]",True
3W97,[146],[],"[139, 106, 133, 105]",True
3W98,[146],[],"[112, 106, 133, 129]",True
3W99,[146],[],"[139, 105, 133, 129]",True
3WA9,[146],[],"[139, 106, 131, 129]",True
3WAA,[146],[],"[139, 106, 131, 129]",True
3WAZ,[],[],"[220, 20]",True
3WGI,[24],[],[224],False
3WKJ,[146],[],"[139, 106, 133, 130]",True
3WPC,[12],[],[802],False
3WPD,[10],[],[802],False
3WPE,[12],[],[801],False
3WPG,[12],[],[803],False
3WPH,[12],[],[803],False
3WPI,[18],[],[803],False
3WTP,[146],[],"[143, 106, 133, 129, 140]",True
3WTS,"[15, 15]",[],"[205, 142, 166]",True
3WTT,"[15, 15]",[],"[204, 142, 166]",True
3WTU,"[15, 15]",[],"[204, 142, 166]",True
3WTV,"[15, 15]",[],"[204, 142, 166]",True
3WTW,"[15, 15]",[],"[204, 142, 166]",True
3WTX,"[15, 15]",[],"[204, 142, 166]",True
3WTY,"[15, 15]",[],"[204, 142, 166]",True
3WU1,"[16, 16]",[],"[123, 109]",False
3WVG,[12],[],[300],True
3WVH,[12],[],[300],True
3WVI,[12],[],[300],True
3X1S,[146],[],"[135, 102, 129, 125]",True
3X1T,[146],[],"[135, 102, 128, 126]",True
3X1U,[146],[],"[135, 102, 128, 124]",True
3X1V,[146],[],"[135, 102, 129, 126]",True
3ZDA,"[4, 6]",[],[251],False
3ZDB,[12],[],[251],False
3ZDC,[12],[],[251],False
3ZDD,[10],[],[251],False
3ZH2,[35],[],[316],False
3ZHM,"[18, 18]",[],[79],False
3ZI5,"[12, 12]",[],[166],True
3ZKC,"[21, 21]",[],[111],False
3ZLJ,"[21, 21]",[],"[800, 53]",False
3ZP5,"[10, 10]",[],[102],True
3ZPL,[22],[],[177],True
3ZQC,"[16, 16]",[],[131],True
3ZQL,"[17, 17]",[],[267],True
3ZVK,"[26, 26]",[],"[134, 78]",True
3ZVM,[5],[],[416],False
3ZVN,[5],[],[416],False
4A04,[24],[],[203],True
4A08,"[13, 14]",[],"[1159, 382]",False
4A09,"[14, 16]",[],"[1159, 382]",False
4A0A,"[15, 16]",[],"[1159, 382]",False
4A0B,"[15, 16]",[],"[1159, 382]",False
4A0K,[12],[],"[742, 117, 1159, 382, 12]",False
4A0L,[12],[],"[1144, 382, 726, 98, 12]",False
4A12,"[40, 40]",[],[190],True
4A15,[4],[],[620],False
4A3I,[15],[27],"[1732, 70, 120, 70, 1224, 318, 221, 215, 155, 171, 146, 122]",False
4A75,[6],[],[90],False
4A76,[7],[],[90],False
4A8F,[4],[],[665],False
4A8K,"[4, 2]",[],[665],False
4A8M,[4],[],[665],False
4A8Q,[6],[],[665],False
4A8S,[13],[],[665],False
4A8W,[12],[],[665],False
4A8Y,[14],[],[665],False
4AA6,"[18, 18]",[],[71],False
4AAB,"[14, 10]",[],[152],False
4AAD,[24],[],[152],True
4AAE,"[24, 24]",[],[153],True
4AAF,[24],[],[152],True
4AAG,[24],[],[152],True
4ABT,[11],[],[286],False
4AIJ,"[21, 21]",[],[151],False
4AIK,"[21, 21]",[],[151],False
4AIL,"[11, 8]",[],[775],False
4AQU,"[24, 24]",[],[152],True
4ASO,"[24, 24]",[],[104],True
4ASS,"[26, 26]",[],[104],True
4ATI,"[16, 16]",[],[118],True
4ATK,[16],[],[118],True
4AUW,"[21, 21]",[],[96],False
4AV1,"[12, 12]",[],[223],False
4AWL,"[25, 25]",[],"[78, 94, 94]",True
4B20,"[7, 10]",[],[225],False
4B21,[10],[],"[232, 11]",False
4B22,[11],[],"[232, 11]",False
4B23,[11],[],"[232, 11]",False
4B24,[10],[],"[232, 11]",False
4B5F,[11],[],"[259, 11]",False
4B5G,[11],[],"[259, 11]",False
4B5H,[11],[],"[259, 11]",False
4B5J,[11],[],"[259, 11]",False
4B9L,[10],[],"[619, 15]",False
4B9M,[11],[],"[619, 15]",False
4B9N,[13],[],"[619, 15]",False
4B9S,"[10, 15]",[],[619],False
4B9T,"[11, 15]",[],[619],False
4B9U,"[11, 15]",[],[619],False
4B9V,"[11, 15]",[],[619],False
4BDP,"[11, 13]",[],[580],False
4BDY,"[19, 17]",[],[395],False
4BDZ,"[19, 17]",[],[395],False
4BE0,"[19, 17]",[],[395],False
4BE1,"[19, 17]",[],[395],False
4BE2,"[19, 17]",[],[395],False
4BHK,"[29, 29]",[],[171],True
4BHM,[8],[],[79],False
4BNC,"[10, 10]",[],[106],True
4BQA,"[10, 10]",[],[142],True
4BUL,"[20, 20]",[],[692],True
4BWJ,"[12, 16]",[],[540],False
4BXO,"[11, 11]",[],"[254, 217]",True
4C2T,"[28, 28]",[],[745],False
4C2U,"[25, 25]",[],[665],False
4C30,"[25, 25]",[],[665],False
4C3G,"[18, 22]",[],[337],False
4C8K,[12],[],"[540, 16]",False
4C8L,[],[],"[540, 11, 13]",False
4C8M,[],[],"[540, 11, 14]",False
4C8N,[],[],"[540, 11, 14]",False
4C8O,[],[],"[540, 11, 14]",False
4CCH,[12],[],"[540, 16]",False
4CEH,[65],[],"[1232, 1166]",False
4CEI,[65],[],"[1232, 1166]",False
4CEJ,[70],[],"[1232, 1166]",False
4CGZ,"[12, 17]",[],[665],False
4CH1,[7],[],[97],False
4CHU,"[27, 27]",[],[163],False
4CIS,"[14, 14]",[],[283],False
4CJA,"[23, 23]",[],[794],True
4CN2,"[17, 17]",[],[87],True
4CN3,"[17, 17]",[],"[87, 87]",True
4CN5,"[17, 17]",[],[87],True
4CN7,"[16, 16]",[],[87],True
4CRO,[17],[],[66],False
4CRX,[35],[],[322],False
4CSA,[5],[],"[189, 189]",False
4CYC,"[15, 15]",[],"[93, 76]",False
4D1Q,"[15, 16]",[],[536],False
4D8J,"[19, 19]",[],[150],True
4DA4,"[12, 12]",[],[873],True
4DAV,[12],[],[231],False
4DF4,"[12, 16]",[],[540],False
4DF8,"[12, 16]",[],[540],False
4DFJ,"[12, 16]",[],[540],False
4DFK,"[12, 16]",[],[540],False
4DFM,"[12, 16]",[],[540],False
4DFP,"[12, 16]",[],[540],False
4DIH,[15],[],"[259, 36]",False
4DII,[15],[],"[36, 259]",False
4DK9,[11],[],"[11, 157]",False
4DKJ,"[14, 14]",[],[403],False
4DL2,"[12, 9]",[],[435],False
4DL3,"[12, 9]",[],[435],False
4DL4,"[10, 9]",[],[435],False
4DL5,"[12, 9]",[],[435],False
4DL6,"[12, 9]",[],[435],False
4DL7,"[12, 9]",[],[435],False
4DLE,"[12, 16]",[],[540],False
4DLG,"[12, 16]",[],[540],False
4DM0,"[21, 20]",[],[477],False
4DPV,[11],[],[584],False
4DQI,"[9, 13]",[],[592],False
4DQP,"[9, 13]",[],[592],False
4DQQ,"[13, 9]",[],[592],False
4DQR,"[9, 13]",[],[592],False
4DQY,[26],[],"[116, 160, 506]",True
4DS4,"[9, 13]",[],[592],False
4DS5,"[9, 13]",[],[592],False
4DSE,"[9, 13]",[],[592],False
4DSF,"[9, 13]",[],[592],False
4DSI,"[12, 9]",[],[581],False
4DSJ,"[12, 10]",[],[579],False
4DSK,"[14, 17]",[],[579],False
4DSL,"[13, 17]",[],[579],False
4DTJ,[13],[],"[901, 18]",False
4DTM,[13],[],"[901, 18]",False
4DTN,[13],[],"[903, 17]",False
4DTO,[13],[],"[903, 17]",False
4DTP,[13],[],"[903, 17]",False
4DTR,[13],[],"[903, 18]",False
4DTS,[13],[],"[903, 18]",False
4DTU,[13],[],"[903, 18]",False
4DTX,[13],[],"[903, 18]",False
4DU1,"[18, 13]",[],[903],False
4DU3,[13],[],"[903, 18]",False
4DU4,[17],[],"[903, 13]",False
4DWI,[10],[],[581],False
4DWP,"[15, 19]",[],[462],False
4E0D,"[9, 13]",[],[592],False
4E0G,"[13, 19]",[],[462],False
4E0J,"[13, 19]",[],[462],False
4E0P,"[14, 18]",[],[462],False
4E0Y,"[14, 19]",[],[462],False
4E0Z,"[13, 19]",[],[462],False
4E10,[],"[13, 18]",[462],False
4E3S,"[17, 13]",[],[903],False
4E54,[24],[],"[1150, 435, 24]",False
4E5Z,[24],[],"[1150, 436, 24]",False
4E68,[18],[],[596],False
4E7H,"[19, 19]",[],[395],True
4E7I,"[19, 19]",[],[395],True
4E9F,[12],[],"[161, 12]",False
4E9G,"[12, 12]",[],[161],False
4E9H,[12],[12],[161],False
4EA4,[12],[12],[155],False
4EA5,[12],[12],[160],False
4EBC,"[7, 9]",[],[420],False
4EBD,"[7, 9]",[],[420],False
4EBE,"[7, 9]",[],[420],False
4ECQ,"[12, 9]",[],[435],False
4ECR,"[12, 8]",[],[435],False
4ECS,"[12, 9]",[],[435],False
4ECT,"[12, 9]",[],[435],False
4ECU,"[12, 9]",[],[435],False
4ECV,"[12, 9]",[],[435],False
4ECW,"[12, 9]",[],[435],False
4ECX,"[12, 9]",[],[435],False
4ECY,"[12, 8]",[],[435],False
4ECZ,"[12, 8]",[],[435],False
4ED0,"[12, 8]",[],[435],False
4ED1,"[12, 8]",[],[435],False
4ED2,"[12, 8]",[],[435],False
4ED3,"[12, 8]",[],[435],False
4ED6,"[12, 9]",[],[435],False
4ED7,"[12, 8]",[],[435],False
4ED8,"[12, 9]",[],[435],False
4EEY,"[13, 9]",[],[435],False
4EFJ,"[27, 27]",[],[300],False
4EGY,"[21, 21]",[],[88],False
4EGZ,"[21, 21]",[],[88],False
4EJY,[16],[],"[311, 16]",False
4EJZ,[16],[],"[311, 16]",False
4ELT,"[12, 16]",[],[540],False
4ELU,"[12, 16]",[],[540],False
4ELV,[16],[],"[540, 12]",False
4ENJ,[13],[],"[116, 13]",False
4ENK,[13],[],"[116, 13]",False
4ENM,[13],[],"[116, 13]",False
4ENN,[],[],"[116, 13]",False
4EOT,"[19, 19]",[],[95],False
4ER8,[32],[],[165],False
4ESJ,[10],[],[257],True
4ESV,"[14, 13]",[],[454],False
4EUW,"[12, 12]",[],[106],True
4EVV,"[11, 11]",[],[146],False
4EW0,[11],[11],[146],False
4EW4,[11],[],"[146, 11]",False
4EYH,[7],[],"[420, 8]",False
4EYI,[7],[],"[8, 420]",False
4EZ6,"[9, 13]",[],[592],False
4EZ9,"[9, 13]",[],[592],False
4F1H,[5],[],"[250, 251]",False
4F2J,[20],[],[57],False
4F2R,"[9, 13]",[],[592],False
4F2S,"[9, 13]",[],[592],False
4F3O,"[9, 13]",[],[592],False
4F41,[32],[],[320],False
4F43,[32],[],[320],False
4F4K,"[9, 13]",[],[592],False
4F4W,"[13, 18]",[],[361],False
4F4X,"[14, 19]",[],[361],False
4F4Y,"[16, 19]",[],[362],False
4F4Z,"[12, 19]",[],[361],False
4F50,"[11, 14]",[],[361],False
4F6M,"[19, 19]",[],[133],True
4F6N,"[19, 19]",[],[133],True
4F8R,"[9, 13]",[],[592],False
4FB3,"[26, 26]",[],[146],False
4FBT,[13],[],"[341, 16]",False
4FBU,[13],[],"[341, 14]",False
4FF1,[36],[],[1118],False
4FF2,[36],[],[1118],False
4FF3,[36],[],[1118],False
4FF4,[36],[],[1118],False
4FGN,"[23, 23]",[],[132],False
4FJ5,"[18, 13]",[],[903],False
4FJ7,"[18, 13]",[],[903],False
4FJ8,"[17, 13]",[],[903],False
4FJ9,"[17, 13]",[],[903],False
4FJG,"[17, 13]",[],[903],False
4FJH,"[13, 18]",[],[903],False
4FJI,"[17, 13]",[],[903],False
4FJJ,"[18, 13]",[],[903],False
4FJK,"[16, 13]",[],[903],False
4FJL,"[16, 13]",[],[903],False
4FJM,"[17, 13]",[],[903],False
4FJN,"[16, 13]",[],[903],False
4FJX,"[18, 13]",[],[903],False
4FK0,"[17, 13]",[],[903],False
4FK2,"[17, 13]",[],[903],False
4FK4,"[17, 13]",[],[903],False
4FLT,"[11, 13]",[],[793],False
4FLU,"[11, 13]",[],[793],False
4FLV,"[11, 13]",[],[793],False
4FLW,"[11, 13]",[],[793],False
4FLX,[8],[],"[13, 793]",False
4FLY,[8],[13],[793],False
4FLZ,[8],[],"[793, 15]",False
4FM0,[8],[15],[793],False
4FM1,[8],[13],[793],False
4FM2,[8],[15],[793],False
4FM9,"[17, 13]",[],[763],False
4FNC,[28],[],"[204, 29]",False
4FPV,[5],[],[257],False
4FS1,[],[],"[18, 420]",False
4FS2,[],[],"[18, 420]",False
4FTH,"[22, 21]",[],[69],False
4FX4,[29],[],[148],False
4FZX,"[17, 17]",[],[175],False
4FZY,"[12, 12]",[],[175],True
4FZZ,[17],[],[175],False
4G0R,[10],[],[735],False
4G0U,"[8, 12]",[],[803],False
4G0V,"[8, 12]",[],[803],False
4G0W,"[8, 12]",[],[803],False
4G3I,"[16, 13]",[],[342],False
4G4N,[16],[],"[273, 16]",False
4G4O,[16],[],"[273, 16]",False
4G4Q,[16],[],"[273, 16]",False
4G4R,[16],[],"[273, 16]",False
4G7H,"[19, 27]",[],"[315, 1119, 1524, 99, 443]",False
4G7Z,[27],[21],"[315, 1119, 1524, 99, 443]",False
4G82,[10],[],[210],True
4G83,[20],[],[210],True
4G92,"[25, 25]",[],"[64, 92, 119]",False
4GAT,"[13, 13]",[],[66],True
4GC6,"[14, 18]",[],[358],False
4GC7,"[14, 18]",[],[359],False
4GCK,[12],[],[212],True
4GCL,[14],[],[212],True
4GCT,[20],[],[196],True
4GDF,"[32, 32]",[],[497],True
4GFB,"[31, 31]",[],[272],False
4GJP,"[17, 17]",[],[499],True
4GJR,"[17, 17]",[],[499],True
4GLE,"[15, 15]",[],[310],True
4GNX,[62],[],"[114, 136, 444]",False
4GOP,[32],[],"[114, 136, 444]",False
4GUO,"[12, 12]",[],[210],True
4GUQ,[10],[],[210],True
4GZ0,[9],[],[256],False
4GZ1,[9],[],[256],False
4GZ2,[12],[],[255],False
4GZN,"[11, 11]",[],[60],False
4H0E,"[21, 21]",[],[88],False
4H10,"[15, 15]",[],"[73, 71]",False
4H5Q,[14],[],[245],False
4HC7,"[20, 20]",[],[115],False
4HC9,"[20, 20]",[],[115],False
4HCA,"[20, 20]",[],[115],False
4HCB,[12],[],[481],False
4HCC,[12],[],[481],False
4HDU,"[13, 13]",[],[116],False
4HDV,"[13, 13]",[],[116],False
4HF1,"[29, 29]",[],[170],True
4HF2,"[29, 29]",[],[170],True
4HID,[9],[],[143],False
4HIK,[9],[],[143],False
4HIM,[9],[],[143],False
4HIO,[9],[],[143],False
4HIV,[9],[],[11],False
4HJ5,[9],[],[143],False
4HJ7,[9],[],[143],False
4HJ8,[9],[],[143],False
4HJ9,[10],[],[143],False
4HJA,[11],[],[143],False
4HJE,"[21, 21]",[],[200],True
4HLY,[12],[],[132],False
4HN5,"[16, 16]",[],[117],True
4HN6,"[16, 16]",[],[114],True
4HP1,[12],[],[72],True
4HP3,[12],[],[72],True
4HQB,"[4, 5]",[],[148],False
4HQE,"[17, 17]",[],[115],True
4HQU,[],[],"[109, 24]",True
4HQX,[],[],"[102, 24]",True
4HRI,"[21, 21]",[],[307],True
4HSB,[11],[],"[217, 11]",False
4HT4,[28],[],[195],False
4HTU,[],[12],[134],False
4HUE,[],[12],[134],False
4HUF,[],[12],[134],False
4HUG,[],[12],[134],False
4HYK,"[10, 17]",[],[354],False
4I27,[6],[],[400],False
4I28,[5],[],[400],False
4I29,[],[],"[400, 5]",False
4I2A,[],[5],[400],False
4I2B,[5],[],[400],False
4I2C,[5],[],[400],False
4I2E,[5],[],[400],False
4I2F,[5],[],[400],False
4I2G,[5],[],[400],False
4I2H,[5],[],[400],False
4I2O,"[30, 30]",[],[243],True
4I3H,"[34, 34]",[],[1144],True
4I6Z,[24],[],[202],True
4I7Y,[27],[],"[36, 259]",False
4I8T,"[19, 19]",[],[82],True
4I9Q,"[18, 13]",[],[903],False
4IBU,[12],[],[200],True
4IBV,[12],[],[200],True
4IBW,[12],[],[200],True
4IHS,"[25, 25]",[],[94],True
4IHT,"[25, 25]",[],[94],True
4IHV,"[27, 27]",[],[98],True
4IHW,[],[],"[98, 27, 27]",True
4IHX,"[27, 27]",[],[98],False
4IHY,[],[],"[98, 27, 27]",False
4IKF,"[19, 17]",[],[395],False
4IQR,"[20, 20]",[],"[338, 13]",False
4IQV,[4],[],[400],False
4IQW,[4],[],[381],False
4IRI,"[12, 12]",[],[129],True
4IRK,"[18, 17]",[],[342],False
4IS1,"[20, 20]",[],[57],False
4ITQ,"[8, 8]",[],[107],True
4IUF,[9],[],[77],False
4IVZ,"[19, 19]",[],[82],False
4IWR,"[25, 25]",[],[82],True
4IX7,[13],[],[115],False
4IZZ,[21],[],[302],False
4J00,[24],[],[302],False
4J01,[29],[],[302],False
4J19,"[19, 19]",[],[113],False
4J1J,[17],[],[235],False
4J2A,"[18, 13]",[],[901],False
4J2B,"[18, 13]",[],[901],False
4J2D,"[18, 13]",[],[901],False
4J2E,"[18, 13]",[],[901],False
4J2X,"[15, 15]",[],"[427, 28]",False
4J3N,"[8, 12]",[],[803],False
4J8U,"[145, 145]",[],"[135, 102, 128, 125]",True
4J8V,"[145, 145]",[],"[135, 102, 128, 125]",True
4J8W,"[145, 145]",[],"[135, 102, 128, 125]",True
4J8X,"[145, 145]",[],"[135, 102, 128, 125]",True
4J9K,"[13, 9]",[],[435],False
4J9L,"[12, 9]",[],[435],False
4J9M,"[12, 9]",[],[435],False
4J9N,"[12, 9]",[],[435],False
4J9O,"[12, 9]",[],[435],False
4J9P,"[12, 10]",[],[435],False
4J9Q,"[13, 10]",[],[435],False
4J9R,"[12, 9]",[],[435],False
4J9S,"[12, 9]",[],[435],False
4JBK,[14],[],[198],True
4JBM,[12],[],[193],True
4JCX,"[21, 21]",[],[98],True
4JCY,"[21, 21]",[],[98],True
4JGC,[28],[],"[204, 28]",False
4JJN,"[147, 147]",[],"[135, 102, 131, 130, 382]",True
4JL3,"[31, 31]",[],[196],True
4JQD,"[21, 21]",[],[98],True
4JRP,[],[],"[14, 478]",True
4JRQ,[],[],"[14, 478]",True
4JS4,[16],[],[478],False
4JS5,[13],[],[478],False
4JUZ,"[15, 14]",[],[347],False
4JV0,"[15, 14]",[],[347],False
4JV1,[13],[],"[347, 15]",False
4JV2,[13],[],"[347, 15]",False
4K8X,"[16, 12]",[],[775],False
4K8Z,"[16, 12]",[],[774],False
4K96,"[17, 17]",[],[362],False
4K97,"[17, 17]",[],[362],False
4K98,"[17, 17]",[],[362],False
4K99,"[17, 17]",[],[362],False
4K9A,"[17, 17]",[],[362],False
4K9B,"[17, 17]",[],[362],False
4KA4,[7],[],[70],False
4KAZ,[20],[],[235],False
4KB0,[18],[],[235],False
4KB1,[18],[],[235],False
4KB6,[14],[],[366],True
4KDP,[17],[],[151],False
4KFC,"[30, 30]",[],[227],True
4KGC,"[145, 145]",[],"[136, 103, 130, 126]",True
4KHN,"[18, 13]",[],[903],False
4KHQ,"[18, 14]",[],[903],False
4KI2,[11],[],[245],False
4KIS,"[26, 26]",[],[328],False
4KMF,[7],[],[62],False
4KNY,"[30, 30]",[],[227],True
4KTQ,"[12, 13]",[],[539],False
4KUD,[146],[],"[136, 103, 132, 131, 224]",True
4KYW,[10],[],[257],True
4L0Y,"[16, 16]",[],"[242, 146]",False
4L0Z,"[16, 16]",[],"[242, 146]",False
4L18,"[16, 16]",[],"[167, 146]",False
4L5R,[20],[],[198],False
4L5S,[12],[],[199],False
4L62,"[25, 25]",[],[190],True
4LB5,[13],[],[72],False
4LB6,[13],[],[72],False
4LD9,"[167, 167]",[],"[136, 103, 130, 126, 236]",False
4LDX,"[21, 21]",[],[363],True
4LEY,[18],[],[366],True
4LEZ,[18],[],[366],True
4LG0,"[21, 21]",[],"[133, 112]",False
4LG7,[12],[],[68],True
4LJR,[35],[],[221],False
4LLL,[24],[],[140],True
4LLN,[24],[],[140],True
4LMG,"[13, 13]",[],[157],False
4LNQ,[20],[],[197],True
4LQ0,"[26, 26]",[],[304],False
4LT5,"[14, 14]",[],[327],True
4LUP,[7],[],[106],False
4LVI,"[7, 15]",[],[198],False
4LVJ,"[7, 15]",[],[198],False
4LVK,"[7, 16]",[],[198],False
4LVL,[7],[],"[198, 16]",False
4LVM,"[7, 16]",[],[198],False
4LZ1,[],[],"[15, 36, 259]",False
4LZ4,[],[],"[36, 259, 15]",False
4M3R,"[16, 13]",[],[903],False
4M3T,"[18, 13]",[],[903],False
4M3U,"[13, 17]",[],[903],False
4M3W,"[17, 13]",[],[903],False
4M3X,"[18, 13]",[],[903],False
4M3Y,"[16, 13]",[],[903],False
4M3Z,"[18, 13]",[],[903],False
4M41,"[17, 13]",[],[903],False
4M42,"[17, 13]",[],[903],False
4M45,"[16, 13]",[],[903],False
4M6F,"[17, 18]",[],[193],False
4M8B,"[20, 20]",[],[202],False
4M8O,[],"[11, 16]",[1228],False
4M94,[8],[],"[259, 8]",False
4M95,"[8, 8]",[],[259],True
4M9E,"[10, 10]",[],[88],True
4M9V,[11],[],"[11, 64]",False
4MDE,[5],[],[171],False
4MDF,[5],[],[171],False
4MG2,[15],[],"[205, 15]",False
4MGT,[14],[],"[205, 13]",False
4MGU,[3],[],[428],False
4MHG,"[14, 14]",[],[102],False
4MHT,"[12, 13]",[],[327],False
4MKY,"[5, 10]",[],[303],False
4MTD,"[33, 33]",[],[171],False
4MTE,"[33, 33]",[],[171],False
4MZR,"[26, 26]",[],[237],False
4N0O,[7],[],[423],False
4N47,"[12, 21]",[],[685],False
4N56,"[12, 16]",[],[553],False
4N5S,"[12, 16]",[],[553],False
4N76,"[21, 10]",[],[685],False
4NDH,[10],[],[182],True
4NDY,"[26, 26]",[],"[105, 74]",True
4NE1,"[26, 26]",[],"[105, 74]",True
4NHJ,"[23, 23]",[],[119],False
4NI7,[],[],"[32, 186]",False
4NI9,[],[],"[32, 186]",False
4NID,[13],[],"[205, 13]",False
4NIG,[13],[],"[205, 13]",False
4NIH,[13],[],"[205, 13]",False
4NII,[13],[],"[205, 13]",False
4NLG,"[13, 19]",[],[362],False
4NM6,[12],[],[463],True
4NNU,"[22, 22]",[],[230],True
4NOD,[22],[22],[230],False
4NOE,[30],[],[148],False
4NQA,"[18, 18]",[],"[365, 391, 13]",False
4NRW,[13],[],"[294, 13]",False
4NW3,[12],[],[76],True
4O0I,[],[],"[580, 12]",True
4O3M,"[16, 24]",[],[659],False
4O3N,"[12, 8]",[],[435],False
4O3O,"[12, 8]",[],[435],False
4O3P,"[12, 8]",[],[435],False
4O3Q,"[12, 8]",[],[435],False
